Model,Status,Best Epoch,Best Val AUC,Test Accuracy,Test AUC (OVR Macro),Training Time (min),Result File
EfficientNet-B0,Completed,14,0.9881,0.9147,0.9892,350.8614,model_results_task1_comparison/results_EfficientNet-B0.json
ResNet50,Completed,14,0.9886,0.9171,0.9875,711.7853,model_results_task1_comparison/results_ResNet50.json
ResNet18,Completed,14,0.9901,0.9416,0.9918,201.4213,model_results_task1_comparison/results_ResNet18.json
EfficientNet-B2,Completed,15,0.9919,0.9392,0.9928,477.7808,model_results_task1_comparison/results_EfficientNet-B2.json
EfficientNet-B3,Completed,14,0.9915,0.9272,0.9912,638.9771,model_results_task1_comparison/results_EfficientNet-B3.json
MobileNetV3-Small,Completed,15,0.9849,0.9035,0.9845,46.6437,model_results_task1_comparison/results_MobileNetV3-Small.json
MobileNetV3-Large,Completed,14,0.9804,0.8864,0.978,51.8473,model_results_task1_comparison/results_MobileNetV3-Large.json
EfficientNet-B5,Completed,13,0.9927,0.9421,0.9911,155.4593,model_results_task1_comparison/results_EfficientNet-B5.json
ResNet34,Completed,14,0.9931,0.9435,0.9942,297.5284,model_results_task1_comparison/results_ResNet34.json
EfficientNet-B1,Completed,14,0.9918,0.9477,0.9937,451.2019,model_results_task1_comparison/results_EfficientNet-B1.json
ResNet101,Completed,14,0.9925,0.9405,0.9935,820.1035,model_results_task1_comparison/results_ResNet101.json
EfficientNet-B4,Completed,14,0.9918,0.9352,0.989,110.5498,model_results_task1_comparison/results_EfficientNet-B4.json
ResNet152,Completed,15,0.9918,0.9413,0.9934,1125.7335,model_results_task1_comparison/results_ResNet152.json
